question_id,refans_text
36,"A célula animal e vegetal apresentam formato diferenciado. A célula animal possui formato irregular, enquanto a célula vegetal apresenta uma forma fixa."
36,"A parede celular é uma estrutura exclusiva das células vegetais. Ela corresponde a um envoltório externo à membrana plasmática."
36,"Nos vegetais, a célula apresenta, além da membrana plasmática, uma parede que a reveste externamente. Formada principalmente por celulose, essa parede celular garante maior resistência à célula vegetal, evitando a ruptura pela entrada de água"
37,"MEMBRANA PLASMÁTICA: O envelope externo da célula, que regula a troca de subtãncias entre a célula e o meio externo. 
\
\
CITOPLASMA: um material gelatinoso interno no qual estão mergulhados vários orgânulos menores. O citoplasma é o local em que as substâncias que penetram na célula, como os nutrientes, por exemplo, sofrem tranformações. 
\
\
NÚCLEO: estrutura relacionada à coordenação das funções da célula e à multiplicação celular. No núcleo está presente o DNA."
37,"As células têm muitas partes, cada uma com uma função diferente. Algumas dessas peças, chamadas organelas, são estruturas especializadas que realizam determinadas tarefas dentro da célula."
37,"A célula  é constituída de membrana celular, citoplasma e núcleo. A membrana protege a célula e permite trocas entre ela e seu meio.O citoplasma é, geralmente, a maior parte da célula. Compreende a região entre a membrana plasmática e o núcleo."
38,"O tecido epitelial apresenta as seguintes características: falta de espaço entre as células , falta de vascularização e excelente capacidade de renovação celular."
38,"O tecido epitelial apresenta como características principais a presença de pouca substância intercelular e células justapostas"
38,"O tecido epitelial é o responsável por revestir todo o nosso corpo (pele), inclusive nossos órgãos internos (órgãos do sistema digestivo, respiratório e urinário)."
39,"O metabolismo celular é um conjunto de reações químicas de um organismo que fazem a produção de energia para o funcionamento das células."
39,"Conjunto de todas as reações químicas que ocorrem nas células. Estas reacções são responsáveis pelos processos de síntese e degradação dos nutrientes na célula e constituem a base da vida, permitindo o crescimento e reprodução das células."
39,"O metabolismo celular permite que todas as células de um organismo vivo cumpram suas funções corretamente, criando a energia necessária para isso."
40,"O fenótipo corresponde às características físicas, fisiológicas ou comportamentais de um ser vivo. O genótipo corresponde à constituição genética de um indivíduo."
40,"O fenótipo pode ser alterado (pelo o ambiente, pelos nossos hábitos ou pela nossa vontade), enquanto o genótipo é imutável, sendo idêntico até o fim de nossa vida."
40,"O genótipo é a constituição genética de um individuo proveniente de ancestrais comuns, defini as características da espécie. Fenótipo são as características fisicas, morfológicas e até comportamentais."
41,"É a forma como as características genéticas passam de pais para filhos."
41,"É  como a transmissão de características hereditárias opera através de genes que são transmitidos dos pais para os filhos."
41,"é responsável pela transmissão de agentes genéticos que determinam a herança de características comuns a uma determinada espécie."
42,"A próstata é uma glândula que auxilia na nutrição dos espermatozóides.O epidídimo e o vasos deferentes são canais que auxiliam no transporte dos espermatozóides.E a uretra transporta a urina e o sêmem para fora do organismo."
42,"Os órgãos internos servem para produzir e transportar os elementos necessários para a reprodução."
42,"São próstata, vasos deferentes , uretra e epidídimo. eles produzem, nutrem e transportam os espermatozóides."
43,"O ar entra pelas fossas nasais, passando pelos pulmões e sai por meio da contração do diafragma. Na expiração o diafragma e os musculos intercostais relaxam  e empurram para fora o ar usado."
43,"Inspiração é o conjunto de movimentos que permite a entrada de ar nos pulmões. Expiração é o conjunto de movimentos que resulta na retirada do ar do interior das vias respiratórias. Nesse caso, ocorre o relaxamento dos músculos intercostais e do diafragma."
44,"Porque ao suspender a respiração a concentração de gás carbônico aumenta no sangue. Após determinado nível  o sistema nervoso volta a comandar a respiração e a pessoa reinicia o processo de inspiração e expiração."
44,"Existe um órgão chamado bulbo raquidiano que controla (involuntariamente) a sua taxa de gás carbônico no sangue. quando se para de respirar este órgão força o retorno como uma forma de proteção do organismo."
44,"Por que o cérebro reconhece o excesso de gás carbônico e nos força a voltar a respirar."
45,"Deve ser feito nos leucócitos porque nas hemácias não tem núcleo."
45,"Os cromossomos se encontram no núcleo das células e as hemácias não tem núcleo. então este estudo deve ser feito nos leucócitos"
45,"Só nos leucócitos porque quando as hemácias amadurecem perdem o núcleo ai não carregam mais cromosssomos."
46,"As artérias saem do coração e tornam-se cada vez mais finas à medida que se ramificam. Esses vasos apresentam como função principal levar o sangue e, consequentemente, nutrientes e oxigênio do coração para os tecidos.As veias  levam sangue do corpo para o coração para que ele possa ser bombeado novamente para o corpo."
46,"Quando o coração bombeia o sangue, ele bombeia este sangue diretamente nas artérias com grande pressão, para que as artérias possam conduzir o sangue na direção dos tecidos. as veias são responsáveis por conduzir o sangue de volta ao coração e removem as toxinas dos tecidos para elas sejam eliminadas."
47,"O fígado é um dos órgãos do sistema digestório mais importantes para a digestão porque ele tem a função de metabolizar e armazenar nutrientes, que só ficam prontos para serem absorvidos e utilizados pelo organismo após passarem por ele."
47,"Algumas das funções do fígado na digestão humana são: produção da bile, armazenamento de glicose, produção de glicose, transformação de substâncias ..."
47,"Além da liberação da bile, o fígado funciona como um laboratório transformando quase todas as substâncias que passam por ele."
48,"Ao ser introduzida no corpo do ser humano, a vacina provoca uma reação (imunização) do sistema imunológico, promovendo a produção de anticorpos (leucócitos) contra aquela substância."
48,"As vacinas estimulam a produção de anticorpos pelo corpo, ficando a pessoa imunizada."
48,"Elas protegem o corpo humano produzindo anticorpos."
49,"Porque os alimentos tem diferentes funções no nosso corpo. Eles protegem, dão energia e ajudam no crescimento."
49,"Porque os alimentos se dividem entre grupos diferentes: reguladores, energéticos e construtores."
49,"Porque uma alimentação equilibrada com alimentos de diferentes funções proporcionam saúde ao nosso corpo."
50,"Hemodiálise é um procedimento onde  uma máquina limpa e filtra o sangue, ou seja, faz parte do trabalho que o rim doente não pode fazer."
50,"É o processo de filtragem e depuração de substâncias indesejáveis do sangue. Ela faz o papel dos rins."
50,"Quando os rins deixam de funcionar, a hemodiálise surge como uma opção de tratamento que permite remover as toxinas e o excesso de água do seu organismo."
42,"Os órgãos sexuais internos masculinos são: os testículos, os epidídimos, os ductos deferentes, a vesícula seminal, a próstata, as glândulas bulbouretrais e a uretra.
\
Após a puberdade, os testículos, que são formados por túbulos seminíferos enovelados, passam a produzir espermatozoides e testosterona. Após serem formadas, essas células reprodutivas (espermatozoides) são dirigidas a um tubo único, o epidídimo, onde serão maturados, armazenados e adquirirão motilidade (pelo batimento flagelar) e o acrossomo (para penetrarem o ovócito na fecundação). Posteriormente, os espermatozoides serão transportados pelo ducto deferente onde serão depositados o liquido seminal e prostático, oriundos, respectivamente da vesícula seminal e da próstata. Quando este composto de líquidos e células chega a uretra, as glândulas bulbouretrais secretam seus líquidos com o intuito de limpar o canal para a passagem do sêmen, uma vez que por este mesmo canal também é transportada a urina. Assim, a uretra encaminha o sêmen para o meio externo do organismo."
