question_id,refans_text
36,"A célula animal possui formato irregular e a célula vegetal apresenta uma forma fixa. A célula vegetal possui parede celular, já que é uma exclusividade. A célula animal tem a ausência de vacúolo, plastos e Glioxissomos."
36,"Nos vegetais, a célula apresenta, além da membrana plasmática, uma parede que a reveste externamente. Formada principalmente por celulose, essa parede celular garante maior resistência à célula vegetal, evitando a ruptura pela entrada de água"
36,"na celula vegetal há cloroplasto, parede celular de celulose e vacuolo pulsatil"
36,"A célula animal e vegetal apresentam formato diferenciado. A célula animal possui formato irregular, enquanto a célula vegetal apresenta uma forma fixa."
36,"As células animais são todas aquelas que compõem os seres vivos do reino animália, composto por membrana plasmática, citoplasma e núcleo verdadeiro. As células vegerais contem estruturas como parede celulares, plastídios e grandes vacúolos"
36,"a presença de, vacuolos, plastos e parede celular"
36,"A parede celular é uma estrutura exclusiva das células vegetais. Ela corresponde a um envoltório externo à membrana plasmática."
36,"Entre as diferenças que separam a célula vegetal da animal podemos destacar a presença de vacúolos, plastos e parede celular. No citoplasma algumas organelas são comuns às células vegetais e animais."
37,"Citoplasma:fica entre o núcleo e a membrana plasmática e lá se encontra o citosol onde fica da organelas celular 
\
\
Membrana plasmática: ela proteje e delimita a célula 
\
\
Núcleo: ele retém todas as informações como o DNA e o RNA"
37,"Membrana plasmática: escolhe o que entra e o que sai da célula. 
\
Organelas:cada uma tem uma função específica para garantir o funcionamento adequado da célula.
\
Citoplasma:parte interior da célula onde ficam as organelas e o núcleo
\
Núcleo: onde se armazena o DNA ou o RNA."
37,"As células têm muitas partes, cada uma com uma função diferente. Algumas dessas peças, chamadas organelas, são estruturas especializadas que realizam determinadas tarefas dentro da célula."
37,"Nucleo: armazena o DNA e controla a célula.
\
Citoplasma: líquido localizado entre a membrana plasmática e o núcleo, nele se localizam as organelas e também serve de proteção para o núcleo.
\
Membrana plasmatica: Exerce a função de um filtro, selecionando o que entra e sai da célula."
37,"A célula possui: núcleo, onde se localiza o material genético (organizado ou não); retículos endoplasmáticos, rugosos que realizam a síntese proteica e lisos responsáveis pelo transporte; mitocondria, responsável pela produção de energia; complexo golgiense, responsável pela secreção de substâncias; membrana plasmática semi-permeável e entre outros"
37,"Todas as células possuem membrana celular (permeabilidade seletiva), ribossomos (síntese de proteínas), citosol (onde ocorrem as reações químicas, preenchimento) e material genético. As células animais apresentam, além dessas organelas: mitocondrias (respiração celular), retículos endoplasmáticos liso (transporte de substâncias e produção de lipídios), retículo endoplasmático rugoso (transporte e produção de proteínas), complexo golgiense (armazenamento e secreção), citoesqueleto (estrutura), lisossomos (digestão) e centríolos (flagelos e )."
37,"A célula  é constituída de membrana celular, citoplasma e núcleo. A membrana protege a célula e permite trocas entre ela e seu meio.O citoplasma é, geralmente, a maior parte da célula. Compreende a região entre a membrana plasmática e o núcleo."
37,"MEMBRANA PLASMÁTICA: O envelope externo da célula, que regula a troca de subtãncias entre a célula e o meio externo. 
\
\
CITOPLASMA: um material gelatinoso interno no qual estão mergulhados vários orgânulos menores. O citoplasma é o local em que as substâncias que penetram na célula, como os nutrientes, por exemplo, sofrem tranformações. 
\
\
NÚCLEO: estrutura relacionada à coordenação das funções da célula e à multiplicação celular. No núcleo está presente o DNA."
38,"A falta de espaços entre as celulas, falta de vascularização e renovação celular e a capacidade de proteger o corpo da entrada de virus e baquiterias"
38,"O tecido epitelial caracteriza-se pela pouca quantidade de material intercelular e por apresentar células extremamente unidas"
38,"O tecido epitelial apresenta como características principais a presença de pouca substância intercelular e células justapostas"
38,"São formados por células próximas, que se substituem rapidamente."
38,"O tecido epitelial possui 3 camadas, sua regeneração é rápida, possui pouco líquido inter celular, nele se localizam as glândulas sudoríparas, esse tecido forma a pele."
38,"Proteção, revestimento."
38,"O tecido epitelial apresenta as seguintes características: falta de espaço entre as células , falta de vascularização e excelente capacidade de renovação celular."
38,"O tecido epitelial é o responsável por revestir todo o nosso corpo (pele), inclusive nossos órgãos internos (órgãos do sistema digestivo, respiratório e urinário)."
39,"metabolismo
\
Essas reações podem estar relacionadas com a síntese de compostos orgânicos ou sua quebra para fabricar ATP e são todas coordenadas por enzimas. o metabolismo é fundamental para a manutenção de todas as atividades do nosso organismo."
39,"O metabolismo celular permite que todas as células de um organismo vivo cumpram suas funções corretamente, criando a energia necessária para isso."
39,"o metabolismo é a reaçao que precisam de ATP para ocorres e todas as celulas participam para fazer nosso corpo funcionar pelos estimulos"
39,"metabolismo celular - essas reações quimicas ocorrem no organismo para gastar energia."
39,"O metabolismo celular é um conjunto de reações químicas de um organismo que fazem a produção de energia para o funcionamento das células."
39,"Conjunto de todas as reações químicas que ocorrem nas células. Estas reacções são responsáveis pelos processos de síntese e degradação dos nutrientes na célula e constituem a base da vida, permitindo o crescimento e reprodução das células."
39,"Metabolismo celular, pode ser dividido em anabolismo (síntese) e catabolismo (quebra)."
39,"Metabolismo, ocorre dentro de células, produz ATP (energia) e depende do alimento, da respiração e etc."
40,"O genótipo pode ser definido como a constituição genética de um indivíduo, ou seja, o conjunto de genes recebidos do pai e da mãe. são esses genes, juntamente as influências do meio, que determinarão o fenotipo de um ser."
40,"- Genótipo: constituição genética de um indivíduo
\
- Fenótipo: características fisiológicas, morfológicas e até mesmo comportamentais de um indivíduo."
40,"O genótipo é a constituição genética de um individuo proveniente de ancestrais comuns, defini as características da espécie. Fenótipo são as características fisicas, morfológicas e até comportamentais."
40,"Genótipo são as características interiores, do DNA, fenótipo são as exteriores que podem ser modificadas"
40,"O fenótipo pode ser alterado (pelo o ambiente, pelos nossos hábitos ou pela nossa vontade), enquanto o genótipo é imutável, sendo idêntico até o fim de nossa vida."
40,"O fenótipo corresponde às características físicas, fisiológicas ou comportamentais de um ser vivo. O genótipo corresponde à constituição genética de um indivíduo."
40,"genotipo - conjunto de genes 
\
fenotipo - caracteristicas visiveis que podem ser modificar"
40,"O fenótipo corresponde às características físicas, fisiológicas ou comportamentais de um ser vivo. O genótipo corresponde à constituição genética de um indivíduo, que, somado a influências ambientais, determina seu fenótipo. No caso do sistema sanguíneo MN, por exemplo, os fenótipos são os grupos M, N e MN. Os genótipos que correspondem a esses fenótipos são, respectivamente, MM, NN e MN. Uma pessoa que possua o fenótipo grupo sanguíneo M apresenta como genótipo o par de genes MM."
41,"Quer dizer que se passam as características de pais para filhos"
41,"São as características que vem dos pais, por exemplo uma pessoa tem que usar óculos mas não é por problemas de vista e sim porque os pais têm esses problemas e veio do gene esse problema"
41,"Os genes de seus pais passam hereditariamente para os filhos"
41,"É a forma como as características genéticas passam de pais para filhos."
41,"Transmissão de caracteres hereditários é quando características presentes no DNA do progenitor são passados para os filhos."
41,"é responsável pela transmissão de agentes genéticos que determinam a herança de características comuns a uma determinada espécie."
41,"É  como a transmissão de características hereditárias opera através de genes que são transmitidos dos pais para os filhos."
41,"A transmissão de características (físicas ou psicológicas) que 'durarao até o final de nossos dias'"
42,"São próstata, vasos deferentes , uretra e epidídimo. eles produzem, nutrem e transportam os espermatozóides."
42,"Os órgãos internos servem para produzir e transportar os elementos necessários para a reprodução."
42,"A próstata é uma glândula que auxilia na nutrição dos espermatozóides.O epidídimo e o vasos deferentes são canais que auxiliam no transporte dos espermatozóides.E a uretra transporta a urina e o sêmem para fora do organismo."
42,"Testiculos (produção de hormonios e esperma), prostata, urétra e os dutos deferentes."
42,"Os órgãos sexuais internos masculinos são: os testículos, os epidídimos, os ductos deferentes, a vesícula seminal, a próstata, as glândulas bulbouretrais e a uretra.
\
Após a puberdade, os testículos, que são formados por túbulos seminíferos enovelados, passam a produzir espermatozoides e testosterona. Após serem formadas, essas células reprodutivas (espermatozoides) são dirigidas a um tubo único, o epidídimo, onde serão maturados, armazenados e adquirirão motilidade (pelo batimento flagelar) e o acrossomo (para penetrarem o ovócito na fecundação). Posteriormente, os espermatozoides serão transportados pelo ducto deferente onde serão depositados o liquido seminal e prostático, oriundos, respectivamente da vesícula seminal e da próstata. Quando este composto de líquidos e células chega a uretra, as glândulas bulbouretrais secretam seus líquidos com o intuito de limpar o canal para a passagem do sêmen, uma vez que por este mesmo canal também é transportada a urina. Assim, a uretra encaminha o sêmen para o meio externo do organismo."
42,"testículos: são responsáveis pela produção do espermatozóide; próstata: produz o líquido que junto ao espermatozóide constituem o sêmen e ajuda na locomoção do espermatozóide no canal vaginal; uretra: canal por onde é expelido o sêmen e a urina"
42,"testículos - são responsáveis pela produção do espermatozóide. próstata - produz o líquido que junto ao espermatozóide constitui o sêmen, e ajuda na locomoção desta célula. uretra - canal por onde é expelido sêmen e a urina"
42,"Testículos produzem os espermatozóides e passam para os epidídimos para amadurecer, já maduros eles ficam nos canais deferentes. Durante a excitação, são levados para a uretra e de lá são ejaculados. No processo recebe líquidos das glândulas vesicosas e da próstata."
43,"Inspiração é o conjunto de movimentos que permite a entrada de ar nos pulmões. Expiração é o conjunto de movimentos que resulta na retirada do ar do interior das vias respiratórias. Nesse caso, ocorre o relaxamento dos músculos intercostais e do diafragma."
43,"inspiração: diafragma desce; intercostais contraem; caixa toraxica sobe; aumenta volume; diminui a pressão. expiração: diafragma sobe; intercostais relaxa; caixa toraxica desce; diminui volume; aumenta pressão"
43,"Na inspiração, os músculos intercostais e o diafragma se contraem, aumentando o volume da caixa torácica, diminuindo a pressão interna e possibilitando a entrada do ar. Na expiração, os músculos intercostais e o diafragma relaxam, diminuem o volume torácico, aumenta a pressão interna e expulsando o ar."
43,"INSPIRAÇÃO: O ar entra pelas fossas nasais, passando pelos pulmões e sai por meio da contração do diafragma. Ao se contrair, o diafragma se abaixa, o que com o movimento dos musculos intercostais, aumenta o volume da caixa toraxica, fazendo a pressão interna diminuir e se tornar menos que a pressão atmosférica. Com isso o ar penetra pelos pulmões. 
\
EXPIRAÇÃO: O diafragma e os musculos intercostais relaxam-se o que reduz o volume toraxico e empurra para fora o ar usado."
43,"O ar entra pelas fossas nasais, passando pelos pulmões e sai por meio da contração do diafragma. Na expiração o diafragma e os musculos intercostais relaxam  e empurram para fora o ar usado."
43,"Na inspiração os músculos intercostais e o diafragma contraem diminuindo a pressão interna fazendo com que o ar entre. Na expiração eles relaxam aumentando a pressão e fazendo o ar sair."
43,"Inspiração: O ar entra pela fossas nasais, passando pelos pulmões e sai por meio da contração do diafragma. Ao se contrair, o diafragma se abaixa e com o movimento dos músculos intercostais, aumenta o volume da caixa toraxica, fazendo pressão atmosferica. Com isso o ar penetra nos pulmões. Expiração: O diafragma e os músculos intercostais relaxam-se o que reduz o volume toracico e impurra para fora o ar utilizado."
43,"Inspiração. O ar entra pelas fossas nasais, passando pelo pulmão e sai por meio de contração do diafragma. Expiração. O diafragma e os músculos relaxam o que reduz o volume toraxito e empurra para fora o ar usado."
44,"Nesse período sem respirar, ainda há sangue arterial sendo transportado, rico em O2, mas, aos poucos, a quantidade de CO2 aumenta, diminuindo o pH do sangue e induzindo o bulbo a estimular a volta da respiração."
44,"Por que o cérebro reconhece o excesso de gás carbônico e nos força a voltar a respirar."
44,"Por causa que o nosso corpo tem reações,  e nos obriga a respirar"
44,"Existe um órgão chamado bulbo requidiano que controla a sua taxa de gás carbônico no sangue. Ao trancar a respiração, a quantidade de CO2 no sangue aumenta e, ao chegar em certo limite, o bulbo força a respiração."
44,"pois nosso cérebro não permite que nos façamos isso por se tratar de uma ação involuntária"
44,"Porque ao suspender a respiração a concentração de gás carbônico aumenta no sangue. Após determinado nível  o sistema nervoso volta a comandar a respiração e a pessoa reinicia o processo de inspiração e expiração."
44,"a quantidade de CO2 no sangue aumentará e ao chegar em certo limite, o bulbo te forcará a respirar."
44,"Existe um órgão chamado bulbo raquidiano que controla (involuntariamente) a sua taxa de gás carbônico no sangue. quando se para de respirar este órgão força o retorno como uma forma de proteção do organismo."
45,"Só nos leucócitos porque quando as hemácias amadurecem perdem o núcleo ai não carregam mais cromosssomos."
45,"Deve ser feito nos leucócitos porque nas hemácias não tem núcleo."
45,"Globulos brancos são as unicas celulas do sangue que contém nucleo, que pode transportar material genetico cromossomos"
45,"Não, pois diferentes de uma hemacia, um leucócito possui núcleo e como material genético se encontra no núcleo da célula."
45,"Leucócitos, pois são as células sanguíneas que possuem núcleo e cromossomos."
45,"Os cromossomos se encontram no núcleo das células e as hemácias não tem núcleo. então este estudo deve ser feito nos leucócitos"
45,"Não, pois diferentemente de uma hemácia, um leucócito possui núcleo. E como o material genético se encontra no núcleo da célula, não é possível se fazer um estudo dos cromossomos usando hemácias."
45,"Nas células leucócitas porque elas possuem um núcleo. E como o material genético é encontrado no núcleo da célula deve ser as leucócitas pois as hemácias não tem o núcleo."
