question_id,answer_text,grade
36,"As células animais são todas aquelas que compõem os seres vivos do reino animália, composto por membrana plasmática, citoplasma e núcleo verdadeiro. As células vegerais contem estruturas como parede celulares, plastídios e grandes vacúolos",3
36,"Que o nucleo de um é visível e o outro não.
\
Como procariontes  - Ele não visível pois existe uma membrana. Ex Bactéria
\
Os eucariontes - Ele é visível se faz presente na membrana nuclear
\
Ex: plantas e animais...",1
36,"Nas vegetais tem na célula a membrana plasmática uma parede que reveste dentro e na celula animal não tem isso",2
36,"A célula vegetal possui parede celular",3
36,"uma não possui paredes e a outra possui",2
36,"A célula animal: e a célula vegetal: É de vegetal É de animal",0
36,"As diferenças são: na estrutura e forma, na parede celulare nas organelas",2
36,"As células animais morrem e as vegetais não.",0
36,"A célula animal é composta por organelas iguais a da célula vegetal mas a célula vegetal tem diferentes mecanismos para sua sobrevivência vegetal",2
36,"a célula animal é a célula que nos compõe é a célula vegetal é a célula que compõe as plantas",3
36,"A célula vegetal possui a organela cloroplastos e parede celular, enquanto as animais não.",2
36,"Celula animal mais complexa, a vegetal tem funções bem diferentes da celula animal",1
36,"Uma tem parede celular e a outra não",2
36,"Célula animal, possui DNA, e a célula vegetal não possui.",0
36,"a célula vegetal tem membrana plasmática e a anima não",0
36,"não sei",0
36,"Nos vegetais tem na celula a membrana plastica uma parede que a reveste dentro e na celula animal não tem isso",2
36,"A celula animal possui a carioteca o o encolhimento nuclear ou seja são pro eucariotes. E a celula vegetal é um ser autotrofo porque produz seu proprio alimento da fotossintesse.",2
36,"a célula vegetal possui clorofila e a animal não.",3
36,"não sei",0
36,"As diferenças entre elas são  a estrutura , formato , e componentes que constitui a célula!",2
36,"as celúlas animal morrem e as vegetais não.",0
36,"Célula animal tem núcleo definido, já a vegetal não",0
36,"A vegetal é amido e a animal é glicose",2
36,"Uma é unicelular e outra é bicelular",0
36,"A animal possui parede celular e a vegetal não",0
36,"A célula vegetal possui cloroplastos, parede celular e algumas organelas diferentes das da célula animal",2
36,"a célula vegetal tem parece celular e a animal não.",3
36,"Isolamento do material genético",0
36,"A membrana plasmática é diferente. Acho eu.",1
36,"Na célula animal temos membrana, citoplasma e núcleo na vegetal tem 3 a mais parede celular cloropasma vácuo e na célula vegetal a respiração celular é a fotossíntese, que ocorre no cloroplasmo.",3
36,"A célula vegetal tem tudo o que a célula animal tem, incluindo todas as organelas, mais  a parede celular e o cloroplasto.",3
36,"Celula animal são de bichos, cachorros, vaca... etc Celula vegetal são de legumes... etc",1
36,"uma tem nucleo outra nao",0
36,"Pra animal a de animal e pra vegetal a de vegetal.",1
36,"É a presença de vacúolos, plastos e parede celular.",3
36,"a célula animal é capaz de se reproduzir e a célula vegetal não",0
36,"Célula animal somente o animal e a vegetal os humanos e os vegetais",0
36,"A celula vegetal armazena amido e animal o glicogênio",2
36,"A celula animal ela é mais complexa e esta nos animais já a celula vegetal esta nos vegetais",1
36,"A diferença entre a célula animal e a vegetal é que, a vegetal possui cloroplasto, já a animal não.",3
36,"A diferença  é  que a célula vegetal da célula  animal é a parede celular e os cloropastos",3
36,"a celula vegetal é procarionte e a animal é eucarionte",0
36,"Celula animal são de Bichos, celula vegetal são de legumes",1
36,"Celular Animal está presente no corpo de animais, e a vegetal no corpo vegetal, possuindo parede celular e cloroplasto, diferentemente da animal",3
36,"Nas vegetais tem na celula a membrana plasmatica uma parede que reside dentro e uma celula animal não tem isso",2
36,"A celula animal e vegetal apresentam formato diferenciado. A célula animal possui formato irregular, enquanto a célula vegetal apresenta uma forma fixa.",3
36,"uma contem nucleo e outra nao, uma é de animal e outra de plantas",1
36,"não sei",0
36,"Uma tem cloroplastos e a outra não.",3
36,"as células animal são capazes de serem reproduzidas as vegetais não",0
36,"Na célula animal, tem mais informações e mais conteúdo do que na de na vegetal",1
36,"A célula animal é unicelular, já célula vegetal tem mais de um núcleo, ou seja, ela é policelular.",0
36,"A celula animal tem parede celular , e a vegetal não",0
36,"Q célula vegetal tem parede celular",3
36,"Q célula vegetal tem parede celular",3
36,"Q célula vegetal tem parede celular",3
36,"A célula animal não produz cloroplasto e a vegetal produz cloroplasto",2
36,"A célula vegetal, além da membrana plasmática, possui uma parede que a reveste externamente.",3
36,"Animal não tem cloropasto e as paredes celulares são diferentes,vegetal tem elas",3
36,"Tem formatos e organelas diferentes, alem da parede celular que a celula vegetal apresenta",3
36,"A celula animal tem membrana plasmática, ja a célula vegetal não",1
36,"A célula vegetal possui parede celular.",3
36,"As células animais possuem carioteca e as células vegetais não.",0
36,"Não sei",0
36,"A celula animal ele é pluricelular ou seja é formado por varias celulas ja o vegetal é unicelular é formado por apenas uma celula.",0
36,"A célula animal tem uma mitocondria a mais que a vegetal e ela possui também a clorofila ,a vegetal realiza a fotossintese e animal não",2
36,"não sei",0
36,"Na célula vegetal a parede da membrana plasmática é formado por celulose diferente da célula animal.",3
36,"a célula animal e capaz de se reproduzir e a vegetal não",0
36,"Células animais: 
\
- Não possuem parede celular;
\
- Formato redondo e irregular.
\
\
Células vegetais:
\
- Possuem parede celular;
\
- Formas fixas e retangulares.",3
36,"A presença de vacúolos",2
36,"A celula vegetal nao tem nucleo",0
36,"A célula vegetal possui parede celular, que serve como uma proteção a mais, vacuolo para armazenamento, cloroplasto para realizar fotossintese, além dos componentes básicos, o citoplasma, o núcleo e a membrana plasmática, que existem na célula animal.",3
36,"A célula vegetal possui parede celular, diferente das animais que possuem a membrana plasmática",3
36,"A célula vegetal possui cloroplastos e a animal não.",3
36,"não sei",0
36,"A presença da membrana celular e a presença de algumas organelas específicas",1
36,"Nas vegetais tem na célula a membrana plasmatica uma parede que reveste dentro e na celula animal não tem isso.",2
36,"Não sei",0
36,"A celula animal e para animais e a vegetal de vegetais",1
36,"A diferença é que uma tem membrana plasmática e a outra tem somente um “oco”",0
36,"a célula animal pode se reproduzir já a célula vegetal não pode",0
36,"A célula vegetal tem a clorofila e a animal não tem.",3
36,"A animal e viva que não se auto reproduzem  
\
E a vegetal e viva também mas se reproduzem inconsciente",0
36,"A diferença delas é a parede celular, váculo e plasto",3
36,"A célula vegetal é mais simples,  enquanto  a animal é mais complexa.",0
36,"a",0
36,"A diferença é que uns tem a presença de vacuolos, plastos e parede celular e o outro não.",2
36,"A célula animal é formada por diferentes tipos de organelas das células vegetais.",2
36,"A célula vegetal possui cloroplasto, permitindo a fotossíntese, já a célula animal não possui.",3
36,"A célula animal tem a parede celular e a vegetal não",3
36,"Nas vegetais tem na celula a membrana plasmatica, uma parede que a reveste dentro e na celula animal não tem isso",2
36,"Porque a animal é de animal e vegetal de vegetal",1
36,"o nome",0
36,"possuem formatos diferentes e as células vegetais possuem lisossomos e a célula animal é muito difícil de possuir lisossomos.",0
36,"A célula animal é composta por apenas uma célula e a vegetal por varias.",0
36,"Eucarionte e procarionte",0
36,"A diferença entre a célula animal e a vegetal é que ná vegetal não tem membrana plasmática nem centríolo",0
36,"igul",0
36,"Forma, parede celular (vegetal), a celula vegetal tem vacúolos.",3
36,"Entre as diferenças que separam a célula vegetal da animal, podemos destacar a presença de vacúolos, plastos e parede celular... Além disso, ela é responsável por dar tamanho e formato á célula vegetal e proteger contra a entrada de patógenos.",2
36,"A célula animal se localiza no animal e a célula vegetal se localiza nos vegetais",1
36,"Vegetal-Tem parede celular
\
Animal-não tem parede celular",3
36,"Nas vegetais tem na celula a membrana plasmatica, uma parede que a reveste dentro e na celula animal não tem isso.",2
36,"A célula vegetal possui duas estruturas que nos aparecem. nas celulas animais são elas cloroplasta e parede celular",2
36,"não sei",0
36,"Nos vegetais, a célula apresenta, além da membrana plasmática, uma parede que a reveste externamente. Formada principalmente por celulose, essa parede celular garante maior resistência à célula vegetal, evitando a ruptura pela entrada de água. ... No citoplasma, algumas organelas são comuns às células vegetais e animais.",3
36,"A célula animal e do ser vivo.celula vegetal            é da planta",2
36,"As célula animais e vegetais se diferem muito entre suas estruturas",2
36,"A célula animal tem uma mitocôndria a mais que a célula vegetal, a vegetal realiza a fotossíntese, tem o corpo diferente.",2
36,"A celula vegetal possui parede celular e a animal não",3
36,"A célula vegetal contem cloropastos",2
36,"A célula vegetal possui membrana plasmática e a animal não.",0
36,"A célula vegetal tem parede celular, cloropasto e vacuolo.",3
36,"célula vegetal tem cloroplasto célula animal não tem .",3
36,"célula vegetal faz fotossíntese e célula animal não.",1
36,"Algumas organelas e cloroplastos
\
Célula vegetal tem parede celular, já a animal não.",3
36,"Célula animal são de bichos, cachorro, vaca ... etc. Célula vegetal são de legume...etc",1
36,"A celula animal é a celula para animais e a vegetal é para vegetais",1
36,".",0
36,"A animal tem núcleo e a vegetal não.",0
36,"x",0
36,"A presença de parede celular",2
36,"A célula vegetal possui parede celular",3
36,"Qual a diferença entre a célula animal e a célula vegetal?",0
36,"Membrana plasmatica",0
36,"Animal não tem núcleo e a vegetal tem",0
36,"A principal diferença é que a célula vegetal possui parede celular, pois precisa de mais rigidez.",3
36,"A celular vegetal possui parede celular e cloroplasto",3
36,"A célula animal, é eucarionte, heterotrófica, já os vegetais são seres autotróficos e procariontes",2
36,"A celula vegetal possui uma organela que não aparece na célula animal",1
36,"Uma ha vacuolos, plastos e parede celular e outra não",3
36,"Massa:
\
1/2 xícara (chá) de óleo.
\
3 cenouras médias raladas.
\
4 ovos.
\
2 xícaras (chá) de açúcar.
\
2 e 1/2 xícaras (chá) de farinha de trigo.
\
1 colher (sopa) de fermento em pó",0
36,"Nas vegetais tem na celula a membrana plasmatica uma porede que a reveste dentro e na celula animal não tem isso.",2
36,"Nas vegetais, tem na celula a membrana plasmatica um parede que a reveste dentro e na celula animal não tem isso.",2
