Info,Total Data,Treino Data,Teste Data,EQM Before,EMA Before,Pesos Otimizados,EQM After,EMA After,Num Testes,Erro Geral
Português Base Percentual Treino com 0.5,23378,11689,11689,0.5250215238033791,0.541457793452339,"[0.64752499, 0.2754032, 0.26957437]",0.5224015771678424,0.5253634936254638,11689,41.84
Português Base Percentual Treino com 0.6,23378,14026,9352,0.5246584997866593,0.5487146833167558,"[0.65395275, 0.26488913, 0.26790483]",0.5210774190955527,0.5284071960138537,9352,40.65
Português Base Percentual Treino com 0.7,23378,16364,7014,0.5219413274247127,0.5515484799643086,"[0.60642215, 0.29398494, 0.29732043]",0.5165413737879875,0.5262061435350487,7014,38.54
Português Base Percentual Treino com 0.8,23378,18702,4676,0.5432130892108111,0.5592619445557712,"[0.57723758, 0.25741394, 0.33623268]",0.5385185382931869,0.5374640421401727,4676,36.57
Português Base Percentual Treino com 0.9,23378,21040,2338,0.5999990625597448,0.5899205063181109,"[0.49705143, 0.27977723, 0.42613684]",0.5949700044215867,0.5685708670021803,2338,37.74
Português Base Percentual Treino com 1 e teste com 0.1,23378,23378,2338,0.623134427756914,0.609677285998324,"[0.47001369, 0.27656978, 0.51803831]",0.6157199264607305,0.583745254696992,2338,38.64
Português Large Percentual Treino com 0.5,23378,11689,11689,0.525230847810162,0.5402374105988926,"[0.70021618, 0.28366601, 0.58906906]",0.5213580908393899,0.526471015808924,11689,47.21
Português Large Percentual Treino com 0.6,23378,14026,9352,0.5270068730499705,0.5494111154364224,"[0.70453691, 0.29596642, 0.53486774]",0.522951104947863,0.5317618518489508,9352,44.6
Português Large Percentual Treino com 0.7,23378,16364,7014,0.5259246839677915,0.5548789502770193,"[0.65381311, 0.3433597, 0.58822818]",0.5200517093143531,0.531650347195112,7014,41.86
Português Large Percentual Treino com 0.8,23378,18702,4676,0.5491697835570432,0.5637046934943681,"[0.63345436, 0.3060708, 0.66428992]",0.5438125104785707,0.5443082060693399,4676,40.17
Português Large Percentual Treino com 0.9,23378,21040,2338,0.6105339456284352,0.5938443727485434,"[0.56729639, 0.3484164, 0.84156265]",0.6037331529345534,0.5764945856766575,2338,42.09
Português Large Percentual Treino com 1 e teste com 0.1,23378,23378,2338,0.6393006381420181,0.6163082738008595,"[0.54579623, 0.37248172, 1.02607946]",0.6284818206180363,0.5943721012823022,2338,43.05
Espanhol Base Percentual Treino com 0.5,3772,1886,1886,0.9123644012709805,0.7446176961651181,[],0.9123644012709805,0.7446176961651181,1886,31.37
Espanhol Base Percentual Treino com 0.6,3772,2263,1509,0.8955450406259301,0.7456566608817318,[],0.8955450406259301,0.7456566608817318,1509,34.88
Espanhol Base Percentual Treino com 0.7,3772,2640,1132,0.9009623533013691,0.7536192561310423,[],0.9009623533013691,0.7536192561310423,1132,33.42
Espanhol Base Percentual Treino com 0.8,3772,3017,755,0.8702343649076508,0.7390300184755043,[],0.8702343649076508,0.7390300184755043,755,33.72
Espanhol Base Percentual Treino com 0.9,3772,3394,378,0.8821526434402448,0.7449094405416822,[],0.8821526434402448,0.7449094405416822,378,28.3
Espanhol Base Percentual Treino com 1,3772,3772,378,0.8634178023455499,0.7366839197212106,[],0.8634178023455499,0.7366839197212106,378,29.62
Espanhol Large Percentual Treino com 0.5,3772,1886,1886,0.9585499071370907,0.7678876065806883,[],0.9585499071370907,0.7678876065806883,1886,21.15
Espanhol Large Percentual Treino com 0.6,3772,2263,1509,0.9622308049360419,0.777283085716756,"[0.14124922, 0.00808369, 0.12892923]",0.9622308049360419,0.777283085716756,1509,21.86
Espanhol Large Percentual Treino com 0.7,3772,2640,1132,0.9703115373865406,0.7834878865744738,"[0.16336229, 0.00491239, 0.13656753]",0.9703115373865406,0.7834878865744738,1132,21.26
Espanhol Large Percentual Treino com 0.8,3772,3017,755,0.94502601088691,0.7753693268745901,[],0.94502601088691,0.7753693268745901,755,20.82
Espanhol Large Percentual Treino com 0.9,3772,3394,378,0.9441430217990414,0.7782513138528976,[],0.9441430217990414,0.7782513138528976,378,16.42
Espanhol Large Percentual Treino com 1,3772,3772,378,0.9257791568791579,0.7712637952984536,[],0.9257791568791579,0.7712637952984536,378,16.6
Espanhol Roberta Percentual Treino com 0.5,3772,1886,1886,0.9675316040076072,0.7673754901750481,[],0.9675316040076072,0.7673754901750481,1886,21.4
Espanhol Roberta Percentual Treino com 0.6,3772,2263,1509,0.9753900248228871,0.7780061767090387,[],0.9753900248228871,0.7780061767090387,1509,25.5
Espanhol Roberta Percentual Treino com 0.7,3772,2640,1132,0.9852065743361536,0.7866540771550347,[],0.9852065743361536,0.7866540771550347,1132,25.02
Espanhol Roberta Percentual Treino com 0.8,3772,3017,755,0.9508267438240252,0.7734198240003282,[],0.9508267438240252,0.7734198240003282,755,27.34
Espanhol Roberta Percentual Treino com 0.9,3772,3394,378,0.9525578064271385,0.7773684915641729,[],0.9525578064271385,0.7773684915641729,378,23.73
Espanhol Roberta Percentual Treino com 1,3772,3772,378,0.9317385635771298,0.7687738047174502,[],0.9317385635771298,0.7687738047174502,378,27.24
Inglês Base Percentual Treino com 0.5,3646,1823,1823,1.2328570816397868,0.8847069273326931,[],1.2281168699038947,0.8823326063140576,1823,19.55
Inglês Base Percentual Treino com 0.6,3646,2187,1459,1.1772243255276267,0.8543124489843892,[],1.1723951526827605,0.8516325834616534,1459,20.19
Inglês Base Percentual Treino com 0.7,3646,2552,1094,1.172595346067684,0.8486252641638968,[],1.1672231745912414,0.8456257841804341,1094,19.87
Inglês Base Percentual Treino com 0.8,3646,2916,730,1.1125205808527239,0.8265874295304279,[],1.1086132218564322,0.8242294619629158,730,21.21
Inglês Base Percentual Treino com 0.9,3646,3281,365,1.1062414215342844,0.825525127531596,[],1.1034352241309224,0.8235807740834801,365,21.85
Inglês Base Percentual Treino com 1,3646,3646,365,1.1031745449588093,0.8282501623019782,[],1.1013073019168331,0.8268481958652802,365,22.21
Inglês Large Percentual Treino com 0.5,3646,1823,1823,1.2283728284355513,0.8856975643376,[],1.2248378720646464,0.8835467645271388,1823,18.19
Inglês Large Percentual Treino com 0.6,3646,2187,1459,1.170505576773405,0.8542953170622337,[],1.1667097542242273,0.8518793957332941,1459,18.81
Inglês Large Percentual Treino com 0.7,3646,2552,1094,1.1684228387911866,0.847793099852295,[],1.1641520899829445,0.8450809845934011,1094,18.37
